字段1_文本,字段3
华裔小提琴家否认社交媒体言论“辱华”，提起诉讼,蒋逸文曾是上海四重奏的小提琴手，也是中共批评者。他在社交媒体上以“猪”的表情符指代中国人引发争议，失去乐团席位和教职。如今他发起诉讼，称自己的言论被故意歪曲。
北京延长本届香港立法会任期，未将反对派议员除名,尽管四名民主派议员已被禁止寻求连任，但他们来年可能留在立法会。这表明北京希望避免引发更大的公众愤怒。此前港府已决定将立法会选举推迟一年。
简报：香港高调打击异见人士；黎巴嫩政府集体辞职,中国对11名美国人实施制裁；美国卫生部长访台赞扬台湾民主；白宫外发生枪击事件，特朗普被紧急带离简报室；麦当劳起诉前CEO……这里是今日要闻。
与中国划清界线——美国华人当中的新“切割派”,在中美剑拔弩张的情况下，一些华人选择疏离中国甚至划清界线。有人拿古巴移民为例，赞成脱钩，也有人认为，种族主义并不会因此减少。
新冠疫情下中美贸易协议命运存疑,尽管中美官员发表声明称协议正在得到履行，但特朗普批评中国未遵守协议，对其未来表示怀疑。疫情导致中国难以实现采购目标，中美关系也在进一步恶化。
简报：谁将中美推向全面对抗；朝鲜首度披露疑似病例,美国农业官员对来自中国的种子包裹发出警告；越南百日零新增记录被打破；巴西总统称自己感染新冠后已痊愈；澳洲报告单日最高死亡人数……这里是今日要闻。
双边关系紧张之际，中美官员讨论贸易协定进展,在特朗普指责中国控制新冠疫情不力的背景下，此次对话意义重大。会谈后双方均释放乐观信号。专家认为，现阶段维持这项协议及商业往来对两国都有益处。
简报：长江流域洪水肆虐；字节跳动宣布将起诉美国政府,中共推“光盘行动”向浪费粮食宣战；中国走向“后疫情时代”；美国FDA授权使用康复者血浆治疗；俄著名反对派领袖被转往德国救治……这里是今日要闻。
12名乘船逃亡台湾的香港人预计将在大陆受审,北京当局拒绝将他们保释，在未提出指控的情况下一直将他们关押在拘留所，也不让他们与亲属指定的维权律师见面。家属担忧他们可能在大陆不透明的司法体系里遭受刑讯。
简报：中国用维吾尔劳工生产口罩；肖建华金融帝国陨落,肖建华金融帝国陨落；复盘中印喜马拉雅之争；；香港单日新增病例过百；“希望号”火星探测器发射升空；美国民权运动先驱刘易斯逝世……这里是今日要闻。
美国遏制中共的战略窗口期究竟有多长,以中国今天的实力，作者认为，未来五年对美国遏制中共非常关键。但如何在升级围堵中和不给美国造成大麻烦之间平衡，也是一个棘手问题。
简报：特朗普政府撤回留学生签证新规；英国宣布禁用华为,特朗普攻击拜登对华政策；《纽约时报》将把部分香港业务迁至首尔；佛州单日新冠死亡人数再破纪录；美国17年来首次执行联邦死刑……这里是今日要闻。
2020年，中国还会出现“灰犀牛”事件吗,难看的经济形势，被选情左右的中美贸易谈判，何去何从的香港抗议，和平统一似乎越来越渺茫的两岸关系……2020年，灰犀牛蹲在哪里？
简报：香港卷入中美网络自由战；美国宣告正式退出WHO,美国务院对与西藏出入限制有关的中国官员实施入境限制；世卫组织专家将前往中国展开疫情溯源调查；巴西总统新冠病毒检测呈阳性……这里是今日要闻。
拜登还是特朗普，华裔投给谁,或者因为子女的教育机会，或者因为大流行之后的种族歧视现象增加，美国的华裔选民因为关注点的不同，对特朗普和拜登各有好感。几位来自不同州的华裔给出了他们的理由。
中国为什么通缉我这样的美国公民,我是被香港当局以违反国安法为由通缉的六个人之一，即使我是美国公民。这部法律令任何国家任何为香港发声的公民都可能成为打击目标。
台湾铜锣湾书店，一座“自由社会的灯塔”,香港书商林荣基在台北重开铜锣湾书店，这里迅速成为台湾活跃民主的象征，以及讨论两岸关系与台湾未来的集会场所。但书店的选书和林荣基的政治难民身份也引发了争议。
拜登与中国的40年：从支持中国崛起到对华强硬,拜登与中国的接触始于1979年，他曾经支持中国在全球一体化中崛起，希望用国际准则改变中国。但如今，他谴责习近平为“暴徒”，视中国为一个首要战略挑战。
简报：聚焦贝鲁特大爆炸；美国卫生部长计划率团访问台湾,全球新冠相关死亡病例超70万；阿富汗称该国三分之一人口已感染并康复；耶鲁学生因在线课程学费问题诉校方；日本纪念广岛核爆75周年……这里是今日要闻。
特朗普与蔡英文通话，打破1979年以来外交惯例,特朗普周五与台湾总统蔡英文通话，他是自1979年以来，第一位与台湾领导人通话的美国总统或候任总统。此举可能造成美国与中国之间的重大分歧。
简报：香港民众街头抗议新国安法；美新冠逝者接近10万,美高级官员威胁就北京推进新国安法实施制裁；武汉病毒所所长否认病毒起源阴谋论；美国针对巴西出台旅行禁令；金正恩时隔三周再露面……这里是今日要闻。
简报：香港民主派初选抗议领袖获支持；中国回击美国制裁,美国挑战中国在南海主张；美17州就留学生签证新规起诉特朗普政府；香港宣布新限制措施应对新一波疫情；中国警方通报贵州公交坠湖案……这里是今日要闻。
美国外交元老谈香港：中美双方都自以为是,资深外交人士傅立民认为，维持“一国两制”的香港符合美国利益，但一些官员需明白沉默是金的道理。对中国来说，面对NBA等事件，宽宏大量比敏感多疑带来的好处更大。
美国全面加强与台湾关系，反制中国,为谋求连任，特朗普的对华政策不得不转向强硬，亲台湾的美国官员看到了机会。他们力求提升美台关系，加强台湾的国际地位，以推动与中国的长远竞争及对抗。
“还得中共去收拾烂摊子”：习近平强硬政策背后的智囊团,长期以来，中共培养大批学者捍卫并打磨其议程。这些人有时被称为“国家主义者”，他们是党的拥护者，甚至成为官方顾问，助推香港国安法这类强硬政策。
中美暂时“停火”，寻求合作抗疫、重振经济,就疫情暴发问题争吵数周后，中美同意停止在病毒问题上公开向对方开火，并寻求合作已减缓传染速度、重振全球经济。但休战仅限于与新冠病毒有关的行动。
中美紧张态势升级，为何贸易协议却能保持稳定？,美中在贸易方面曾长期存在争议，但随着两国关系激化，1月签订的贸易协议却显得意外牢固。分析认为，其政治因素大于外交因素，双方似乎都认为现在毁约得不偿失。
简报：北京谴责香港人权法案；“新疆文件”说明什么,美国前财长保尔森谈中美关系；以色列总理内塔尼亚胡被起诉；英国王室百年丑闻；白宫前官员称乌克兰干预2016年大选是“虚构叙事”……NYT简报带你速览今日要闻。
特朗普取消香港特殊待遇在港引发多重反应,一些亲民主人士对此举表示支持；亲北京官员则强调香港将与大陆建立更紧密联系；也有许多人担心香港的经济会雪上加霜，而且这座城市会成为中美竞争的间接牺牲品。
特朗普政府考虑对中共党员全面实施旅行禁令,起草中的总统公告还可能授权政府撤销在美中共党员及其家属的签证。此举几乎肯定会招致中国报复，并加剧两国紧张关系。特朗普是否接受该计划仍属未知。
特朗普政府对中共的战略误判,特朗普政府对华遏制政策的前提和假设，是否真如华盛顿鹰派认为的那样，作者提出了疑问。他认为华盛顿恐怕存在误判。
中国启动宣传机器为新国安法辩护,官媒将这项立法描述为维护中共统治的必要手段，称香港抗议者与外国势力勾结，企图推翻政府。中国评论人士还将矛头对准美国，国内新闻则继续屏蔽不同声音。
简报：中国驻以色列大使死亡；吉林辽宁超8千人被隔离,美国加强对华为限制；武汉病毒所石正丽发表研究；北京建议公众在户外可不戴口罩；日本经济陷入衰退；奥巴马批特朗普政府抗疫不力……这里是今日要闻。
简报：武汉一小区六人确诊；记者提问特朗普称“去问中国”,美国指中国黑客窃取疫苗数据；上海迪士尼乐园重新开放；白宫要求员工佩戴口罩，不包括特朗普；俄罗斯结束“非工作时期”……NYT简报带你速览今日要闻。
时报档案：冀朝铸，“毛泽东右手边的人”,2012年，已经退休的翻译家冀朝铸接受时任时报驻华记者张大卫的采访。冀朝铸曾为毛泽东、周恩来和邓小平等多名中国领导人担任翻译，见证并参与了诸多历史性时刻。
特朗普政府对中国记者实施新签证限制,在非美国新闻媒体工作的中国记者将只能获得90天的工作签证，停留时间大幅缩短。美国官员称这将平衡中国压制独立新闻的做法，但此举可能招致北京报复。
简报：美国限制中国获取技术；抗议浪潮席卷全球,美国外交元老谈香港局势与中美关系；港台就陈同佳案争论难休；英国脱欧或再延期；谷歌宣称实现量子计算突破；英国一卡车内发现39具尸体……简报带你速览今日要闻。
共和党“甩锅中国”策略的头号敌人：特朗普,美国疫情造成的影响日趋严重，共和党人越来越相信，将责任归咎于中国也许是挽救选举的最好办法。但是，特朗普急于推进贸易谈判、维护与习近平的关系，搅乱了这一策略。
美国人工智能领域的秘密武器：中国人才,研究表明，在中国受过教育的研究人员帮助美国在人工智能这个具有重要战略意义的领域占主导地位。但行业领导者如今担心，恶化的政治紧张局势将削弱美国的这一优势。
贸易战暴露习近平的领导能力不足,习近平根本没有管理好中美关系，在挑战美国的全球领导地位上做得太猛、太早。他也没能采取有效措施，解决中国经济的结构性问题。
北京仍呼吁合作，但已加强抗衡美国的决心,北京认为，华盛顿在贸易、科技和香港问题上的惩罚性措施暴露了美国敌视中国的核心问题。鉴于巨大的经济利益，中国不愿彻底毁掉两国关系，但也在极力反抗。
中美新冷战会滑向热战吗,作者认为，中美已进入新冷战状态，在双方绝不后退的意志较量中，在各领域发生对撞和冲突势使难免，出现误判和擦枪走火的概率大增。
习近平电贺特朗普当选美国总统,习近平说，期待与特朗普一道努力，拓展合作，以建设性方式管控分歧。与鹰派的克林顿相比，中国政府更愿意与特朗普打交道。但中美贸易摩擦也可能增加。
清华校园里的中美“暗战”,作者写道，中美高校的人文交流项目以搭建两国之间的桥梁为旨，但在中美关系恶化的今日，朋友圈里温馨的合影背后隐藏着难以缓解的矛盾。
美国拟批准新对台军售，或加剧中美紧张关系,新一批军火销售价值20亿美元，被认为将帮助台湾应对来自中国的军事威胁。军售正值蔡英文准备访问北美、过境美国之际，此行可能会进一步激怒北京。
防弹轿车、机器人和煤炭：朝鲜如何逃避国际制裁,联合国报告、数据评估和分析人士的采访显示，朝鲜在中俄帮助下出口煤炭等，募集数百万美元，用于继续发展核计划。该国还利用国际制裁的漏洞为精英阶层进口奢侈商品。
为何有关金正恩健康的谣言如此泛滥？,人们对朝鲜这个世界上最孤立的警察国家有强烈的地缘政治兴趣，外界对可靠信息的缺乏为谣言滋生创造了土壤。金正恩如果突然死亡，可能带来影响深远的权力真空。
面对贸易冲突和香港动荡，中国高调反美,外交部发言人华春莹称香港动荡为“美方作品”，央视主播康辉则讽刺美国是“搅屎棍”。分析认为，中国官方有意在煽动反美情绪。中美关系正经历断裂，变得越来越敌对。
美国医疗物资紧缺，中国精英阶层伸出援手,一个由企业家、富人、学者和前外交官等组成的临时网络正在帮助美国获得中国制造的医护产品。在中美敌意日增的背景下，这或将有助于改善中国形象，弥合两国鸿沟。
中国人网购热情不减，“双11”交易额再破纪录,阿里巴巴称，当天共售出价值2684亿人民币的货品，创下新纪录。泰勒·斯威夫特等国际明星也现身直播晚会。这表明在涉及巨额资金的情况下，世界仍希望来到中国。
经济困境会否挑战习近平政权？,当前中国一个最紧迫的问题是，经济下滑和中美贸易战的挫折有没有威胁到习近平的权力基础？根据最近与有关人士的交流得到的信息，作者认为，至少已经产生了一定的影响。
特朗普的电话将台湾重新推向中美外交谈判桌,特朗普打破惯例与蔡英文通话，使淡出外交热点已久的台湾问题再次成为中美关系的重要议题。分析称中国或重新考虑对台强硬立场，中美关系也可能受到影响。
简报：特朗普称ISIS头目死亡；对话香港前线抗议者,五角大楼担忧芯片供应安全；香港颁布“人肉”警察禁令；中国回击彭斯涉华言论；山火再次肆虐加州；路易威登母公司考虑收购蒂芙尼……NYT简报带你速览今日要闻。
习近平想在G20上塑造一个怎样的领袖形象,与特朗普的会晤可能不会实质性改善中美关系，习近平需要塑造一个朋友众多、在追求更宏大议程的形象。但他能否开创一个制衡美国的联盟，仍然有待观察。
特朗普当选美国总统，震动世界,特朗普一扫选前民调中的颓势，凭借在关键摇摆州的胜利击败克林顿，当选美国第45任总统。各国努力消化这个惊人的消息。习近平和普京致电祝贺。日韩紧张。
习近平与特朗普通电话，双方强调合作共赢,这是中国领导人在特朗普当选之后与他进行的第一次直接沟通。习近平重申了在上周贺电中强调的中美合作原则。特朗普表示赞同，说中国是伟大重要的国家。
贸易谈判进展不顺，习近平陷入两难境地,如果他坚持强硬立场，可能危害经济增长，进而损害中共政治合法性的基础。如果选择让步，国内的不满则会加剧。但如果谈判彻底破裂，双方都面临严重风险。
华盛顿与北京激烈争吵，但美国需要中国的口罩,美国防护器材严重短缺，中国是此类物资最大的生产国，且发出了愿意提供帮助的信号。但鉴于两国陷入互相攻击谩骂、全球空运货物业务崩溃，达成交易可能变得愈发困难。
白宫缺少对华事务主导者，中美裂痕日益扩大,特朗普政府中缺少一个掌管对华事务的核心人物，令美国在许多议题上向北京发出矛盾信号。库什纳一度被认为是中美高层间的桥梁，但他与中国的关系已经转淡。
新冠疫情加剧美中分歧与对抗,本应联手消除病毒、挽救全球经济之际，美中关系恶化到新低。对华鹰派将这一大流行病视为打击中国的机会，但专家警告全球危机需要两国的合作而非对抗。
疫情简报：全球死亡人数破万，特朗普再提“中国病毒”,中国连续三日本土无新增；美国约五分之一人口被要求待在室内；道指低于特朗普就职时水平；意大利再创单日最高死亡数字……这里是疫情最新情况汇总。
特朗普无视批评，坚称“中国病毒”不是种族歧视,这一用词已激怒了中国官员和大量批评人士。专家指出，这只会加剧两国紧张关系，并导致仇外情绪的出现。但特朗普称，此举意在对抗北京指控美国为病毒发源地的阴谋论。
疫情危机损害国际形象，中国打响外交反击战,中国政府的初期应对备受质疑，与多国的关系因疫情紧张。如今它开始反击：驱逐外国记者、抨击种族主义、暗示其他国家反应太慢，还暗示病毒源于其他地方。
简报：香港大学校园变战场；特朗普弹劾调查听证会首日,聚焦特朗普弹劾调查听证会首日；威尼斯再遭水淹； 全球温室气体排放量或继续上升；“微信模式“会成为美国互联网的未来吗……NYT简报带你速览今日要闻。
台湾连失友邦，这对中美太平洋竞争意味着什么,所罗门群岛和基里巴斯相继与台湾断交，转向北京。在与美国争夺太平洋影响力的竞争上，中国的势头正在增长。此番外交调整也将直接影响明年1月的台湾大选。
美国战略家眼里的中国崛起,我发现美国观察中国的战略家普遍有这样的心理：美国依然强大，其地位在于自身实力与价值观。对中国，美国只需展开务实外交，不必刻意遏制，中国最后会受制于自身问题。
中国创业者担忧“中美共同体”走向终结,许多中国创业者和知识分子认为，中国经济起飞受益于中美的积极互动和紧密联系。贸易战和两国“脱钩”的可能性令他们担忧，随着边界和壁垒高筑，中国的崛起能否继续。
在美国大使馆，中国人投了希拉里,"在一场美国大选的观摩活动上，一群年轻的中国人谈及对这场戏剧化美国大选和胜出者唐纳德·特朗普的赞美与批评，以及中国人选主席的可能性。
"
中国宣布全面管制芬太尼,中国将芬太尼的所有变异列入管制目录，履行了习近平对特朗普的承诺。芬太尼出口长期以来是中美关系紧张的原因之一，美方认为中国对美国阿片类药物泛滥负有责任。
中美可以友好相处吗？,习近平治下的中美关系现状令许多中国问题专家感到悲观。若想避免陷入美俄关系般的僵局，中美有必要考虑并采取更加大胆的外交举措。
特朗普该怎样与习近平谈判,特朗普渴望与中国达成协议，他也许会为了面子而忍不住接受能从北京得到的任何东西。但他必须记住，美国的核心利益不能用来讨价还价。
蔡英文出访加勒比友邦，再次过境美国,蔡英文将访问加勒比海四国，过境纽约和丹佛。此前美国批准新一轮对台军售，已经引发中国强烈反对。贸易战旷日持久，这次过境可能进一步恶化中美关系。
对中国敲警钟？特朗普政府批准对台军售,此次军售表明特朗普政府正对中国采取更具对抗性的姿态。此外，美国还对与朝鲜有关的中国银行实施了制裁，并可能在夏天对中国进口钢材征收高额关税。
简报：全球病例突破200万；中国使馆文章激怒法国政府,德国宣布放松限制计划；谭德塞对特朗普暂停资助WHO表示遗憾；纽约州要求民众公共场合佩戴口罩；韩国国会选举执政党大胜……这里是疫情最新情况汇总。
马云谈帮助特朗普创造美国就业,在特朗普大厦，马云告诉记者，将帮助100万个美国小型企业把农产品和美国的服务卖到中国去。特朗普说：“我们进行了一次了不起的会谈。”
下任驻华大使提名关注对华牛肉出口,下任驻华大使提名马克斯·鲍卡斯参议员是自由贸易支持者，他最关心的中国问题是解除他所在的蒙大拿州向中国市场出口牛肉的禁令。
简报：中国富商涉嫌猥亵女童案发酵；美国拟批准对台军售,特朗普政府拟允许部分美企与华为开展业务；林郑月娥称《逃犯条例》修订已“寿终正寝”；何韵诗联合国人权理事会发言遭中方打断……NYT简报带你速览今日要闻。
中美军事紧张局势加剧，中国拒绝美军舰访问香港,“黄蜂号”取消了计划中的访问。在此之前，美国对一家中国国有军事公司实施制裁，并向台湾销售军事装备的决定引发了北京的激烈反应，中美关系似乎正偏离轨道。
美国针对中国发布旅行警告,中美关系日趋紧张之际，美国发布旅行警告，称美国人在中国可能面临被任意拘捕的风险。此前中国一名外逃官员的美国籍家人被北京当局“禁止离境”，引发国际关注。
学联真的是中共的政治工具吗？,美国舆论和官员视学联为中共送入美国国土的特洛伊木马，认为这些学生组织在发起影响力运动，甚至参与间谍活动。实际情况并非如此。
在这17本书里读懂中国,这是一份远非完整的起步书单：有外国媒体驻华记者的观察；余华、杨绛这些中国人自己的声音；基辛格及多位学者对中美关系的论述；以及关注历史、妇女和儿童的佳作。
与特朗普共创中美美好未来,特朗普不是一个意识形态偏执狂，也似乎无意对他国指手画脚。中国宁愿与一个就事论事的美国，而不是时刻想着重塑世界的美国打交道。
简报：中国驻美大使驳“病毒源自美国”论；英国实施封锁,全球新冠死亡人数超1.6万，世界进入“无人”模式；默克尔病毒检测呈阴性；法国多名医生感染新冠去世；印度停飞国内航班……这里是疫情最新情况汇总。
中国警告美国勿在亚太地区部署陆基导弹,中国官员表示“绝不会坐视自身利益受损”，但并未说明具体反制措施。北京也表态不会参加美俄军控谈判。这加剧了人们对中美俄展开新一轮军备竞赛的担忧。
习近平的“BBC老爸”式烦恼（漫画）,对谋求大国崛起和全球领导地位的习近平来说，朝核危机不断升级、中美关系前途未明无疑阻碍了他的计划和野心。
香港抗议僵局难解，亲北京阵营陷入分歧,建制派原本是最有可能缓和局势的力量，但该阵营内部在多个议题上存在分歧，特别是对抗议者的民主诉求。温和派希望重拾2014年政改方案，但前景渺茫。
《中国梦》作者谈中美开战可能性,刘明福称中美关系已进入危险的“比赛最后一局”，美国不断煽动反对中共的活动。为增进了解，美国官员应该来中央党校学习。
中美批准巴黎气候协议（视频）,奥巴马和习近平周六在杭州宣布，中美两国正式批准《巴黎协议》，增强了两国在该领域的合作，也在中美关系频频出现波动的时期，展现出罕见的和谐。
中美贸易谈判陷僵局，或开启长期经济冲突,美国决心限制中国的经济影响力，中国则认为美国的一些要求侵犯主权。两国仍有可能达成协议，但很可能只会改变一些边缘问题，而非美国寻求的重大改革。
安倍访华破冰，中日真的能化对手为朋友吗？,中美关系恶化之际，习近平将一个更友好的日本视为对冲；特朗普对盟友反复无常也令安倍警惕。但两国战略对手关系不会有根本性改变，日本仍寻求与北京抗衡。
当中国“废纸大王”买下一家美国纸厂,先是僧侣，然后是风水顾问。去年夏天，一家倒闭多年的缅因偏远小镇纸浆厂迎来了它的新老板：中国的“废纸大王”张茵。当地急需这样一位救星，但不信任依旧存在。
“熊猫外交”知多少,熊猫外交(panda diplomacy)指中国向境外赠送或租借大熊猫借以增进友好关系的外交方式。始于上世纪40年代的“熊猫外交”在给获赠国带去欢乐的同时，也伴随着质疑。
香港人权法案会影响中美贸易谈判吗？,特朗普签署香港人权法案对北京构成了直接挑战，但贸易和经济疲软是中国当局更急于解决的问题。北京仍希望达成贸易协议，也缺乏有实际意义的选项回击美国。
在中国被封锁的Facebook成为政府对外宣传工具,中国是Facebook在亚洲最大的广告市场。据透露中国政府每年花费数十万美元在其平台上购买广告，进行国家宣传。这些宣传强调世界其他地方暴力混乱，突出中国的繁荣稳定。
简报：习近平焦虑之年；受困于美国的华人按摩女,韩国官员称“特金会”或宣布结束朝鲜战争；特朗普对华贸易让步带来政治风险；伊朗外长突然宣布辞职；土耳其和英国对中国新疆问题表示关注……简报带你速览今日要闻。
美国该为掩盖731部队人体试验暴行道歉吗？,新的731部队罪证陈列馆揭露了侵华日军利用人体进行生物武器研究的暴行，及美国对日本战争罪行的掩盖和纵容。随着中美关系日渐紧张，美国是否应就此道歉也引发讨论。
接触还是遏制？九位中国专家谈美国对华政策,在时报交易录大会上，九位中国政策专家讨论了美中关系面临的主要挑战。与中国和平接触的政策正走向终结，面对“中国优势”，美国该如何重新定义两国关系？
美国应持续支持和平解决台湾问题,"美国在应对许多全球性问题时都需要中国的合作。与台北和北京均维持建设性关系符合美国利益。华盛顿应继续提醒北京，其反对武力解决台湾问题，且不支持台独。
——王福权，维吉尼亚州"
美国议员质询反间谍调查是否歧视华裔,美籍华裔水文专家陈霞芬因涉嫌为中国做间谍被捕，指控随后又被撤销。在美国的反间谍执法中，华裔常常成为重点怀疑对象。
中兴如何成为了中美地缘政治对弈的核心？,美国对中兴的惩罚及特朗普的态度转变显示出中美关系上更深层次的问题。中兴是一家怎样的公司？它是如何违反美国法令的？为什么特朗普会介入此事？
放走斯诺登，中国不怕美国指责,中国表示，斯诺登事件不应影响中美关系。尽管美国大为不满，但中国适时放走斯诺登，可能不失为明智之举。党报赞扬斯诺登“撕下了华府道貌岸然的面具”。
鲍卡斯获任驻华大使突显白宫急缺中国通,自由贸易主义参议员鲍卡斯获任美国新驻华大使，但问题是，奥巴马第二任期是否有足够的合适人选斡旋美中外交并在中国发挥影响力。
习拜会双方就防空区问题针锋相对,中国主席习近平周三与美国副总统拜登举行了长时间会晤，讨论了防空区、朝鲜和中国改革等广泛议题。习近平对拜登提出反对设立防空区给与了有力反驳。
崔天凯，沟通中美的外交能人,中国驻美大使崔天凯履新不久，便促成了中美元首加州峰会。他既捍卫中国利益，又善于聆听美方观点，是修复中美关系裂痕的能手。
美国国内敦促反击中国网络攻击,在奥巴马下月准备与习近平举行首次会晤之际，美国知识产权窃取委员会将提出一系列措施建言，以提高中国窃取美国产业机密的代价。关于反击中国网络攻击的建议，可能会成为会晤最敏感的话题之一。
惩罚NBA，恐怕对中国不利,作者在中国留美学生圈发现，虽然针对NBA的激进声音盖过温和态度，但立场并非铁板一块。支持政府立场者在其他议题上也不会盲目爱国。
贸易协议，习近平学韩信忍胯下之辱？,作者认为，虽然北京是这次贸易协定的输家，但这是习近平以空间换时间之举，借机补齐短板，厉兵秣马，为中美之间将来的生死较量做准备。
学者沈志华：盼共产党将隐秘历史公诸于世,沈志华是中国最重要的冷战史学家，他为自己设定了一项几乎不可能完成的任务：希望中国揭开自己的秘密，把中美关系、中朝关系的往事以及其他中国历史的秘密告诉国民。
习近平推进大国议程，中美或迎来新冷战,分析人士表示，获得新权威的习近平将继续推动他让中国成为全球大国的议程。中国将在亚太地区继续挑战美国政治和军事上的主导地位，中美关系将更具对抗性。
简报：香港亲中派陷入分歧；中国刑拘两名美国人,美国出台新规限制中国外交官行动；英国和欧盟就脱欧协议草案达成一致；白宫代理幕僚长承认对乌克兰停止援助部分出于政治原因……NYT简报带你速览今日要闻。
